configuration,metric,metric_label,metric_index,pillar,seed_1_value,seed_2_value,raw_seed_gap,v0_min,v0_max,v0_range,normalized_seed_gap
D_MTP_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.36297677486836427,0.37152395214947054,0.008547177281106266,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.4214172004292164
D_MTCP_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3714366604352818,0.35699145185397946,0.014445208581302327,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.7122186845714537
D_MZIP_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.3589072656302087,0.3618932612672369,0.002985995637028227,0.3486051083280471,0.36888709319340357,0.020281984865356484,0.14722403437587536
D_MT_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.05388416718796842,0.09967253042931712,0.0457883632413487,0.3486051083280471,0.36888709319340357,0.020281984865356484,2.2575878813300703
D_MTC_1,temporal.lag1_gen,Lag-1 autocorrelation,18,Temporal,0.11496354758609596,0.14303359097658372,0.028070043390487756,0.3486051083280471,0.36888709319340357,0.020281984865356484,1.3839889723236112
C_10,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.965068498836909,2.9538393385753174,0.011229160261591709,2.861802113660532,3.020843526302959,0.1590414126424271,0.07060525981895191
V0_C_0,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.705930602881618,2.866703655877633,0.16077305299601496,2.861802113660532,3.020843526302959,0.1590414126424271,1.0108879839836502
V0_C_1,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.8894635468332557,2.9592853903591276,0.06982184352587195,2.861802113660532,3.020843526302959,0.1590414126424271,0.43901674642976446
V0_I_0,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.9179552834586886,2.776232479675417,0.14172280378327162,2.861802113660532,3.020843526302959,0.1590414126424271,0.8911062938173662
V0_I_1,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.8360897515059857,2.8375010316512976,0.0014112801453118884,2.861802113660532,3.020843526302959,0.1590414126424271,0.008873664549779059
V0_M_0,temporal.wet_mean_length_gen,Mean wet-spell length,19,Temporal,2.8044307292336144,2.886835754054861,0.08240502482124645,2.861802113660532,3.020843526302959,0.1590414126424271,0.5181356443715557
